tickers
A1MD34.SA
A1MT34.SA
A1NE34.SA
AAPL34.SA
ABBV34.SA
ABTT34.SA
ACNB34.SA
ADBE34.SA
AMGN34.SA
AMZO34.SA
ARMT34.SA
ASML34.SA
ATTB34.SA
AVGO34.SA
AXPB34.SA
AZOI34.SA
BABA34.SA
BAIQ39.SA
BCHI39.SA
BEEM39.SA
BIIB34.SA
BKNG34.SA
BLAK34.SA
BMYB34.SA
BOAC34.SA
BOEI34.SA
BOXP34.SA
C1CL34.SA
C1DN34.SA
CAPH34.SA
CATP34.SA
CHCM34.SA
CHME34.SA
CHVX34.SA
CMCS34.SA
COCA34.SA
COLG34.SA
COPH34.SA
COTY34.SA
COWC34.SA
CSCO34.SA
CTGP34.SA
CTSH34.SA
CVSH34.SA
DEAI34.SA
DHER34.SA
DISB34.SA
EBAY34.SA
EVTC31.SA
EXXO34.SA
FCXO34.SA
FDMO34.SA
FDXB34.SA
FMXB34.SA
G1RM34.SA
GDBR34.SA
GEOO34.SA
GILD34.SA
GMCO34.SA
GOGL34.SA
GOGL35.SA
GPSI34.SA
GSGI34.SA
HALI34.SA
HOME34.SA
HONB34.SA
HPQB34.SA
HSHY34.SA
IBMB34.SA
INBR32.SA
ITLC34.SA
J1NP34.SA
JDCO34.SA
JNJB34.SA
JPMC34.SA
K1IM34.SA
K1LA34.SA
KHCB34.SA
KMBB34.SA
L1RC34.SA
LILY34.SA
LMTB34.SA
M1NS34.SA
M1RN34.SA
M1SC34.SA
M1TA34.SA
MACY34.SA
MCDC34.SA
MDLZ34.SA
MDTC34.SA
MELI34.SA
METB34.SA
MMMC34.SA
MOSC34.SA
MRCK34.SA
MSBR34.SA
MSCD34.SA
MSFT34.SA
MUTC34.SA
N1TA34.SA
N1XP34.SA
NFLX34.SA
NIKE34.SA
NVDC34.SA
ORCL34.SA
ORLY34.SA
P1LD34.SA
P1SA34.SA
PEPB34.SA
PFIZ34.SA
PGCO34.SA
PYPL34.SA
QCOM34.SA
R1CL34.SA
ROST34.SA
ROXO34.SA
RYTT34.SA
S1NP34.SA
SBUB34.SA
SCHW34.SA
SIMN34.SA
SLBG34.SA
SPGI34.SA
SSFO34.SA
TEXA34.SA
TGTB34.SA
TJXC34.SA
TMOS34.SA
TRVC34.SA
TSLA34.SA
TSMC34.SA
UNHH34.SA
UPAC34.SA
UPSS34.SA
USBC34.SA
V1TA34.SA
VERZ34.SA
VISA34.SA
W1DC34.SA
W1YC34.SA
WALM34.SA
WFCO34.SA
WUNI34.SA
XPBR31.SA
XRXB34.SA
WALM34.SA
WFCO34.SA
WUNI34.SA
XPBR31.SA
XRXB34.SA
